query,original_query,concepts
Trees of Campeche or Guadeloupe,<mark>Trees of Guadeloupe</mark> or <mark>Trees of Campeche</mark>,"[""Trees of Campeche"", ""Trees of Guadeloupe"", ""Trees of the Yucat\u00e1n Peninsula"", ""Trees of the Lesser Antilles""]"
Mammals of Grenada or Guadeloupe or Fauna of Montserrat,<mark>Fauna of Montserrat</mark> or <mark>Mammals of Grenada</mark> or <mark>Mammals of Guadeloupe</mark>,"[""Mammals of Grenada"", ""Mammals of Guadeloupe"", ""Fauna of Montserrat""]"
1950s children's adventure films or films shot in Bristol,<mark>1950s children's adventure films</mark> or <mark>Films shot in Bristol</mark>,"[""Children's adventure films"", ""1950s films"", ""Films shot in Bristol""]"
20th-century films set in Uttar Pradesh and the British Empire,<mark>Films set in Uttar Pradesh</mark> that are also both <mark>Films set in the British Empire</mark> and <mark>20th-century films</mark>,"[""20th-century films"", ""Films set in Uttar Pradesh"", ""Films set in the British Empire""]"
Children's books that are Novels set on ships,<mark>Children's books</mark> that are also <mark>Novels set on ships</mark>,"[""Children's novels"", ""Novels set on ships"", ""Nautical fiction"", ""Maritime adventure novels""]"
Mammals of Dominica or Barbados,<mark>Mammals of Dominica</mark> or <mark>Mammals of Barbados</mark>,"[""Mammals of Dominica"", ""Mammals of Barbados"", ""Mammals of the Lesser Antilles"", ""Mammals of the Caribbean""]"
"Romanian films that are crime thriller, independent, or thriller",<mark>Romanian crime thriller films</mark> or <mark>Romanian independent films</mark> or <mark>Romanian thriller films</mark>,"[""Romanian films"", ""Crime thriller films"", ""Thriller films"", ""Independent films""]"
"Succulent plants from Mexico, but not Cactoideae",<mark>Succulent plants</mark> that are also <mark>Flora of Mexico</mark> but not <mark>Cactoideae</mark>,"[""Succulent plants"", ""Flora of Mexico"", ""Cactoideae subfamily""]"
what are Middle Jurassic plesiosaurs of Europe,<mark>Middle Jurassic plesiosaurs of Europe</mark>,"[""Middle Jurassic plesiosaurs"", ""Plesiosaurs of Europe""]"
Non American 2010's teen comedy-drama films,<mark>2010s teen comedy-drama films</mark> that are not <mark>American teen comedy-drama films</mark>,"[""Teen comedy-drama films"", ""2010s films"", ""American films"", ""European films"", ""Asian films""]"
Trees of South America that are both Nearctic realm flora and Flora of Sri Lanka,<mark>Trees of South America</mark> that are also both <mark>Nearctic realm flora</mark> and <mark>Flora of Sri Lanka</mark>,"[""Trees of South America"", ""Trees of the Nearctic realm"", ""Trees of Sri Lanka""]"
Fantasy adventure films that are also shot in South America,<mark>Fantasy adventure films</mark> that are also <mark>Films shot in South America</mark>,"[""Fantasy films"", ""Adventure films"", ""Films shot in South America""]"
Arizona plants that are also found in the Klamath Mountains and the North American Desert,<mark>Flora of Arizona</mark> that are also both <mark>Flora of the Klamath Mountains</mark> and <mark>North American desert flora</mark>,"[""Flora of Arizona"", ""Flora of the Klamath Mountains"", ""Flora of the North American Desert""]"
Birds found in Africa and Western Asia that are not prehistoric reptiles from Europe,<mark>Birds of Africa</mark> that are also <mark>Birds of Western Asia</mark> but not <mark>Prehistoric reptiles of Europe</mark>,"[""Birds of Africa"", ""Birds of Western Asia"", ""Prehistoric reptiles of Europe""]"
Fiction books from 1937 about North America that are set in Canada,<mark>1937 fiction books</mark> that are also both <mark>Novels set in Canada</mark> and <mark>Books about North America</mark>,"[""Fiction books"", ""1930s fiction books"", ""Books about North America"", ""Fiction set in Canada""]"
"Marine fauna of Antarctica, or fauna of South Georgia and the South Sandwich islands",<mark>Fauna of South Georgia and the South Sandwich Islands</mark> or <mark>Marine fauna of Antarctica</mark>,"[""Marine fauna of Antarctica"", ""Fauna of South Georgia and the South Sandwich Islands"", ""Marine fauna of the Southern Ocean"", ""Subantarctic island fauna""]"
Birds described in 1991 or Birds of the Western Province (Solomon Islands),<mark>Birds of the Western Province (Solomon Islands)</mark> or <mark>Birds described in 1991</mark>,"[""Birds described in 1991"", ""Birds of the Western Province (Solomon Islands)"", ""Birds of the Solomon Islands""]"
1850's German books about society,<mark>German books</mark> that are also both <mark>Books about society</mark> and <mark>1850s books</mark>,"[""1850s books"", ""German-language books"", ""Sociology books"", ""Social commentary books""]"
Non-erotic horror novels about sexuality,<mark>Sexuality in novels</mark> that are also <mark>Horror novels</mark> but not <mark>Erotic novels</mark>,"[""Horror novels"", ""Novels about human sexuality"", ""Erotic horror novels""]"
French novels from 2019,<mark>2019 French novels</mark>,"[""French-language novels"", ""Novels by French authors"", ""2010s novels""]"
Endemic orchids of Australia and Malesia,<mark>Flora of Malesia</mark> that are also <mark>Endemic orchids of Australia</mark>,"[""Endemic orchids of Australia"", ""Endemic orchids of Malesia""]"
1990 American crime novels,<mark>American crime novels</mark> that are also <mark>1990 novels</mark>,"[""American crime novels"", ""Novels published in 1990""]"
what are the Algae of Hawaii,<mark>Algae of Hawaii</mark>,"[""Algae of Hawaii"", ""Marine algae of Hawaii"", ""Freshwater algae of Hawaii"", ""Endemic algae of Hawaii"", ""Invasive algae of Hawaii""]"
what are birds of South China that are also Birds of Vietnam but not Birds of Myanmar?,<mark>Fauna of South China</mark> that are also <mark>Birds of Vietnam</mark> but not <mark>Birds of Myanmar</mark>,"[""Birds of South China"", ""Birds of Vietnam"", ""Birds of Myanmar""]"
Ann Radcliffe novels or novels from 1789,<mark>Novels by Ann Radcliffe</mark> or <mark>1789 novels</mark>,"[""Ann Radcliffe novels"", ""Novels published at the start of the French Revolution""]"
Crime drama films from 1976,<mark>1976 crime drama films</mark>,"[""Crime drama films"", ""1970s films""]"
"South Korean spy action films, South Korean science fiction thriller films, or Films about the National Intelligence Service (South Korea)",<mark>South Korean spy action films</mark> or <mark>South Korean science fiction thriller films</mark> or <mark>Films about the National Intelligence Service (South Korea)</mark>,"[""South Korean films"", ""Spy action films"", ""Science fiction thriller films"", ""Films about the National Intelligence Service (South Korea)""]"
2010s pregnancy films about alcoholism,<mark>Films about alcoholism</mark> that are also <mark>2010s pregnancy films</mark>,"[""2010s films"", ""Pregnancy films"", ""Films about alcoholism""]"
Fauna of Europe that are Insects of Southeast Asia,<mark>Fauna of Europe</mark> that are also <mark>Insects of Southeast Asia</mark>,"[""Fauna of Europe"", ""Insects of Southeast Asia"", ""Insects of Europe""]"
"Novels based on the Odyssey, Ulysses, or by James Joyce",<mark>Ulysses (novel)</mark> or <mark>Novels by James Joyce</mark> or <mark>Novels based on the Odyssey</mark>,"[""Novels based on Homer's Odyssey"", ""Novels based on James Joyce's Ulysses"", ""Novels by James Joyce""]"
"Fauna of Biliran, Camiguin, or Birds described in 2006",<mark>Fauna of Biliran</mark> or <mark>Birds described in 2006</mark> or <mark>Fauna of Camiguin</mark>,"[""Fauna of Biliran"", ""Fauna of Camiguin"", ""Birds described in 2006""]"
Vertebrate animals from Rwanda that are not also Sub-Saharan African mammals,<mark>Vertebrates of Rwanda</mark> that are not <mark>Mammals of Sub-Saharan Africa</mark>,"[""Vertebrates of Rwanda"", ""Sub-Saharan African mammals""]"
"Orchids of Argentina, French Guiana or Guyana",<mark>Orchids of Argentina</mark> or <mark>Orchids of French Guiana</mark> or <mark>Orchids of Guyana</mark>,"[""Orchids of Argentina"", ""Orchids of French Guiana"", ""Orchids of Guyana""]"
Television films in Dutch or Bosnian genocide films or Siege of Sarajevo documentary films,<mark>Dutch television films</mark> or <mark>Films about Bosnian genocide</mark> or <mark>Documentary films about the Siege of Sarajevo</mark>,"[""Dutch-language television films"", ""Films about the Bosnian genocide"", ""Documentary films about the Siege of Sarajevo""]"
Social science fiction films based on DC Comics,<mark>Social science fiction films</mark> that are also <mark>Films based on DC Comics</mark>,"[""Social science fiction films"", ""Films based on DC Comics""]"
what are some  Novels set in the 1550s or 2001 French novel?,<mark>Novels set in the 1550s</mark> or <mark>2001 French novels</mark>,"[""Renaissance-era historical novels"", ""Reformation-era novels"", ""Novels from France"", ""Contemporary French novels""]"
Films set in Bahrain or Documentaries about bodybuilding,<mark>Films set in Bahrain</mark> or <mark>Documentary films about bodybuilding</mark>,"[""Films set in Bahrain"", ""Documentary films about bodybuilding""]"
Animals from Cuba or Jamaica that are extinct,<mark>Extinct animals of Cuba</mark> or <mark>Extinct animals of Jamaica</mark>,"[""Animals of Cuba"", ""Animals of Jamaica"", ""Extinct animals"", ""Animals of the Greater Antilles""]"
Whaling books,<mark>Books about whaling</mark>,"[""Nonfiction books about whaling"", ""Novels about whaling"", ""Whalers' memoirs"", ""Whaling industry histories"", ""Cetology books""]"
whare some North American films that are also 1970s biographical but not 1970s drama.,<mark>North American films</mark> that are also <mark>1970s biographical films</mark> but not <mark>1970s drama films</mark>,"[""North American films"", ""1970s films"", ""Biographical films"", ""1970s drama films""]"
"puberty, but not Coming-of-age, films",<mark>Films about puberty</mark> that are not <mark>Coming-of-age films</mark>,"[""Films about puberty"", ""Coming-of-age films"", ""Sex education films"", ""Teen drama films""]"
"books from 1560, 1564, or 1574",<mark>1574 books</mark> or <mark>1560 books</mark> or <mark>1564 books</mark>,"[""Books published in 1560"", ""Books published in 1564"", ""Books published in 1574""]"
Rosaceae genera that are also Flora of Mongolia,<mark>Rosaceae genera</mark> that are also <mark>Flora of Mongolia</mark>,"[""Rosaceae genera"", ""Flora of Mongolia""]"
Flora of the Nearctic realm of Papuasia,<mark>Flora of Papuasia</mark> that are also <mark>Nearctic realm flora</mark>,"[""Flora of the Nearctic realm"", ""Flora of Papuasia"", ""Flora of New Guinea"", ""Flora of Melanesia"", ""Flora of the Australasian realm""]"
Aquatic plants and Grasses of the United States also Halophytes,<mark>Aquatic plants</mark> that are also both <mark>Grasses of the United States</mark> and <mark>Halophytes</mark>,"[""Aquatic plants"", ""Grasses (Poaceae)"", ""Flora of the United States"", ""Halophytes""]"
plant life of Aguascalientes,<mark>Flora of Aguascalientes</mark>,"[""Flora of Aguascalientes"", ""Native plants of Aguascalientes"", ""Endemic plants of Aguascalientes"", ""Flora of the Mexican Plateau"", ""Plants of Central Mexico""]"
2010s non-fiction books that are about social psychology but not crowd psychology,<mark>2010s non-fiction books</mark> that are also <mark>Books about social psychology</mark> but not <mark>Books about crowd psychology</mark>,"[""2010s books"", ""Non-fiction books"", ""Books about social psychology"", ""Books about crowd psychology""]"
Crime books about death set in asia,<mark>Crime books</mark> that are also both <mark>Books about death</mark> and <mark>Novels set in Asia</mark>,"[""Crime fiction novels"", ""True crime books"", ""Books about death and mortality"", ""Books set in Asia""]"
Endemic flora or plants of Mozambique,<mark>Endemic flora of Mozambique</mark>,"[""Endemic flora of Mozambique"", ""Plants of Mozambique""]"
"Trees that the Pacific, Australia, and the Ryukyu Islands have in common",<mark>Trees of the Pacific</mark> that are also both <mark>Trees of Australia</mark> and <mark>Flora of the Ryukyu Islands</mark>,"[""Trees of Australia"", ""Trees of the Ryukyu Islands"", ""Trees of the Pacific Islands"", ""Indo-Pacific coastal trees""]"
2000's animated Australian films about dinosaurs,<mark>2000s animated films</mark> that are also both <mark>Australian films</mark> and <mark>Films about dinosaurs</mark>,"[""Animated films"", ""Australian films"", ""Dinosaur films"", ""2000s films""]"
